datetime	T	RH	WIND	SW	P	SWE	LW	EL
2009-2-7 20:0	-2.116	0.4917	 1.484	-0.685	     0	   468	 275.4	     0
2009-2-7 21:0	-1.6125	0.4789	 2.177	-0.574	     0	468.07	 281.7	     0
2009-2-7 22:0	 -1.73	0.4601	 1.323	-0.766	     0	468.14	 274.8	     0
2009-2-7 23:0	-1.462	0.4195	 1.289	-1.018	     0	468.22	   273	     0
2009-2-8 0:0	-1.898	0.4201	 1.151	-1.201	0.29167	468.29	 267.7	     0
2009-2-8 1:0	-1.411	 0.396	 1.593	-0.894	0.29167	468.36	   277	     0
2009-2-8 2:0	-0.8085	0.3956	  1.92	-0.789	0.29167	468.44	 275.8	     0
2009-2-8 3:0	-1.014	0.4234	 1.438	-0.879	0.29167	468.51	 276.3	     0
2009-2-8 4:0	-1.181	 0.364	 1.454	-0.895	0.29167	468.59	 275.1	     0
2009-2-8 5:0	-1.0475	0.3919	  1.42	-0.946	0.29167	468.66	   275	     0
2009-2-8 6:0	-1.4675	0.3922	 1.464	-0.872	0.29167	468.73	 275.3	     0
2009-2-8 7:0	-1.669	0.4117	 1.374	-0.911	0.29167	469.39	 269.7	     0
2009-2-8 8:0	-1.5955	0.3966	  1.27	  23.1	0.29167	470.04	 265.1	8.6258
2009-2-8 9:0	-1.125	0.4205	 1.533	 111.5	0.29167	470.69	 255.4	18.687
2009-2-8 10:0	-1.114	0.4715	 2.129	 193.7	0.29167	471.34	 260.1	27.277
2009-2-8 11:0	-1.5005	 0.545	 1.922	   226	0.29167	471.99	 267.5	33.661
2009-2-8 12:0	-1.719	0.4825	 2.049	 282.3	0.29167	472.65	 274.8	37.001
2009-2-8 13:0	-1.5515	0.5615	 1.664	 268.4	0.29167	 473.3	 274.8	36.706
2009-2-8 14:0	-3.734	 0.897	 1.221	 198.7	0.29167	473.95	 292.7	32.832
2009-2-8 15:0	-5.2915	 0.938	 1.239	 173.2	0.29167	 474.6	 294.5	26.043
2009-2-8 16:0	-6.5945	 0.898	 2.084	 108.1	0.29167	475.26	 290.5	17.178
2009-2-8 17:0	 -8.37	 0.854	 2.323	  70.4	0.29167	475.91	 280.1	6.9414
2009-2-8 18:0	-9.035	 0.896	 0.822	 20.85	0.29167	476.56	 276.9	     0
2009-2-8 19:0	-9.835	 0.906	 0.601	-0.307	0.29167	477.21	   273	     0
2009-2-8 20:0	-10.44	 0.866	 0.896	-1.352	0.29167	477.87	 270.9	     0
2009-2-8 21:0	-11.29	 0.882	 0.681	-2.364	0.29167	478.52	 265.4	     0
2009-2-8 22:0	-12.165	 0.883	 0.449	-0.804	0.29167	479.17	 262.4	     0
2009-2-8 23:0	-11.22	 0.767	 1.162	-0.456	0.29167	479.82	 265.6	     0
2009-2-9 0:0	-10.885	  0.81	 1.073	-0.202	 0.625	480.48	 267.8	     0
2009-2-9 1:0	 -10.7	  0.86	 1.642	-0.104	 0.625	481.13	 268.9	     0
2009-2-9 2:0	 -10.8	 0.741	 1.694	-0.264	 0.625	481.78	 268.6	     0
2009-2-9 3:0	-10.97	   0.9	 0.698	-0.035	 0.625	482.43	   268	     0
2009-2-9 4:0	-11.075	 0.842	 1.083	-0.057	 0.625	483.09	 267.3	     0
2009-2-9 5:0	-10.935	 0.825	 1.552	-0.043	 0.625	483.74	   268	     0
2009-2-9 6:0	-11.105	 0.869	 1.706	-0.005	 0.625	484.39	 267.7	     0
2009-2-9 7:0	-10.885	 0.818	  1.73	 0.154	 0.625	484.86	 268.2	     0
2009-2-9 8:0	-10.315	 0.797	 2.011	 34.39	 0.625	485.33	 270.5	8.8403
2009-2-9 9:0	-9.745	 0.767	 1.578	 182.5	 0.625	485.79	 273.5	18.927
2009-2-9 10:0	 -8.77	 0.773	 2.052	 308.6	 0.625	486.26	 278.3	27.547
2009-2-9 11:0	-6.9595	0.6781	 2.181	 557.2	 0.625	486.73	 289.1	33.961
2009-2-9 12:0	-7.2755	0.6605	 2.697	 578.9	 0.625	 487.2	 289.1	 37.32
2009-2-9 13:0	-8.0655	0.6931	 2.057	 456.8	 0.625	487.66	 283.7	37.025
2009-2-9 14:0	 -8.54	0.6545	 1.597	 416.1	 0.625	488.13	 281.8	33.132
2009-2-9 15:0	 -8.11	 0.805	 0.946	 348.9	 0.625	 488.6	 283.9	26.315
2009-2-9 16:0	-8.835	 0.855	 1.265	 210.7	 0.625	489.06	 280.8	17.422
2009-2-9 17:0	 -9.94	 0.885	 1.455	 60.47	 0.625	489.53	   274	7.1621
2009-2-9 18:0	-10.29	 0.815	 1.249	 12.04	 0.625	   490	 271.1	     0
2009-2-9 19:0	-10.455	 0.905	  0.75	-0.091	 0.625	490.47	 270.2	     0
2009-2-9 20:0	-10.72	 0.906	 0.363	-0.026	 0.625	490.93	 268.9	     0
2009-2-9 21:0	-10.42	 0.924	 1.303	-0.045	 0.625	 491.4	 269.7	     0
2009-2-9 22:0	-10.79	 0.854	 1.791	-0.346	 0.625	491.87	 270.3	     0
2009-2-9 23:0	-11.73	 0.887	 0.963	 -0.21	 0.625	492.34	 265.8	     0
2009-2-10 0:0	-12.015	 0.905	 0.159	-0.277	0.45833	 492.8	 263.9	     0
2009-2-10 1:0	-12.13	 0.904	 0.201	-0.098	0.45833	493.27	 263.1	     0
2009-2-10 2:0	-12.21	 0.907	 0.154	-0.096	0.45833	493.74	 262.6	     0
2009-2-10 3:0	-12.24	 0.897	     0	 -0.28	0.45833	 494.2	 262.4	     0
2009-2-10 4:0	-12.325	 0.905	     0	-0.204	0.45833	494.67	 262.2	     0
2009-2-10 5:0	-12.375	   0.9	     0	-0.263	0.45833	495.14	 261.8	     0
2009-2-10 6:0	-12.445	 0.901	     0	-0.292	0.45833	495.61	 261.6	     0
2009-2-10 7:0	-12.38	 0.904	     0	  -0.2	0.45833	   496	 261.7	     0
2009-2-10 8:0	-11.925	 0.894	     0	 18.04	0.45833	496.39	 262.3	9.0596
2009-2-10 9:0	-11.585	 0.886	   0.6	  74.6	0.45833	496.78	 265.7	19.171
2009-2-10 10:0	-11.29	 0.824	 0.999	 138.1	0.45833	497.16	 268.3	27.822
2009-2-10 11:0	-10.735	 0.824	 1.452	 238.8	0.45833	497.55	 274.7	34.266
2009-2-10 12:0	 -9.06	 0.697	 1.801	 365.4	0.45833	497.94	 283.4	37.644
2009-2-10 13:0	-7.4095	 0.775	 2.119	 475.3	0.45833	498.33	 294.6	37.348
2009-2-10 14:0	-9.945	 0.804	  1.87	 339.6	0.45833	498.72	 283.8	33.435
2009-2-10 15:0	-10.335	 0.872	 1.965	 469.5	0.45833	499.11	 275.2	26.589
2009-2-10 16:0	-10.645	 0.867	 1.476	 267.2	0.45833	 499.5	   273	17.667
2009-2-10 17:0	-11.025	 0.877	 1.125	  94.4	0.45833	499.89	 270.8	7.3831
2009-2-10 18:0	-12.235	  0.89	 1.844	 13.18	0.45833	500.28	 264.7	     0
2009-2-10 19:0	-13.375	 0.906	 0.959	-0.729	0.45833	500.67	 259.4	     0
2009-2-10 20:0	-13.655	 0.895	 0.506	-0.491	0.45833	501.06	 256.4	     0
2009-2-10 21:0	-14.195	 0.876	 0.432	-0.929	0.45833	501.45	 256.1	     0
2009-2-10 22:0	-14.205	 0.876	 0.722	  -0.4	0.45833	501.84	 254.2	     0
2009-2-10 23:0	-13.935	 0.854	 0.673	-0.305	0.45833	502.23	 256.6	     0
2009-2-11 0:0	-15.11	 0.859	 0.464	-0.656	0.041667	502.62	 253.5	     0
2009-2-11 1:0	-15.21	 0.849	 1.503	 -0.78	0.041667	503.01	 251.1	     0
2009-2-11 2:0	-15.41	 0.851	 1.366	-1.339	0.041667	 503.4	 252.1	     0
2009-2-11 3:0	-16.69	  0.86	 0.802	-3.124	0.041667	503.79	 246.7	     0
2009-2-11 4:0	-17.595	 0.849	 0.747	-3.808	0.041667	504.18	 242.4	     0
2009-2-11 5:0	-16.75	 0.839	 0.817	-0.858	0.041667	504.57	 242.9	     0
2009-2-11 6:0	-16.23	  0.84	 1.117	-2.267	0.041667	504.96	 248.8	     0
2009-2-11 7:0	-17.255	 0.842	 1.016	-3.144	0.041667	504.61	 244.9	     0
2009-2-11 8:0	-15.69	 0.806	 0.916	 68.16	0.041667	504.27	 248.1	9.2837
2009-2-11 9:0	-12.68	 0.651	 0.878	 171.1	0.041667	503.92	 255.4	19.421
2009-2-11 10:0	-8.084	0.5685	 1.069	 234.6	0.041667	503.57	 244.4	28.101
2009-2-11 11:0	-5.638	0.4929	  1.15	 274.7	0.041667	503.22	 155.9	34.575
2009-2-11 12:0	-4.7985	0.4615	 1.431	 441.6	0.041667	502.88	 160.2	37.972
2009-2-11 13:0	-5.275	0.4853	 1.905	   885	0.041667	502.53	 182.8	37.674
2009-2-11 14:0	-4.571	0.4547	  1.55	   777	0.041667	502.18	   209	 33.74
2009-2-11 15:0	-4.691	0.4721	 1.829	 566.5	0.041667	501.83	 203.9	26.864
2009-2-11 16:0	-6.823	0.5854	 1.671	 405.7	0.041667	501.49	 165.9	17.912
2009-2-11 17:0	-10.69	 0.769	  1.27	 37.51	0.041667	501.14	 157.9	7.6042
2009-2-11 18:0	-13.015	 0.795	 1.252	  9.56	0.041667	500.79	   155	     0
2009-2-11 19:0	-13.37	 0.856	 1.127	 -3.17	0.041667	500.45	 153.7	     0
2009-2-11 20:0	-13.195	 0.842	 1.391	-3.565	0.041667	 500.1	 152.6	     0
2009-2-11 21:0	-13.565	 0.825	 1.423	-3.193	0.041667	499.75	 155.7	     0
2009-2-11 22:0	-14.335	 0.791	 1.232	-2.633	0.041667	 499.4	 162.6	     0
2009-2-11 23:0	 -14.1	 0.794	 1.513	-2.294	0.041667	499.06	   158	     0
2009-2-12 0:0	-14.335	 0.782	 1.615	-2.291	0.083333	498.71	 159.3	     0
2009-2-12 1:0	 -14.2	 0.738	 1.541	-2.289	0.083333	498.36	 162.8	     0
2009-2-12 2:0	-14.925	 0.751	 1.379	-2.298	0.083333	498.01	 158.5	     0
2009-2-12 3:0	-14.79	 0.772	 1.392	-2.746	0.083333	497.67	 169.8	     0
2009-2-12 4:0	-15.055	 0.815	     1	-2.399	0.083333	497.32	 175.5	     0
2009-2-12 5:0	-15.51	 0.846	 1.001	 -2.32	0.083333	496.97	 177.4	     0
2009-2-12 6:0	-14.85	 0.822	 0.998	-1.969	0.083333	496.63	 190.8	     0
2009-2-12 7:0	-14.25	 0.802	 1.003	-1.992	0.083333	496.97	 186.8	     0
2009-2-12 8:0	-13.275	0.5432	 1.131	 67.47	0.083333	497.31	 186.8	9.5125
2009-2-12 9:0	-10.165	 0.492	 1.086	 220.8	0.083333	497.65	 175.7	19.675
2009-2-12 10:0	-7.3705	0.3943	 1.172	 477.9	0.083333	497.99	 148.4	28.386
2009-2-12 11:0	-5.2125	0.4005	 1.442	 643.1	0.083333	498.33	 165.2	34.888
2009-2-12 12:0	-4.8125	0.4061	 1.713	 684.8	0.083333	498.67	 186.7	38.304
2009-2-12 13:0	-3.679	0.3687	 1.592	   773	0.083333	499.01	 169.6	38.003
2009-2-12 14:0	-3.633	0.3825	 1.709	   749	0.083333	499.35	 157.1	34.047
2009-2-12 15:0	-4.741	0.5158	  1.69	 530.5	0.083333	499.69	 164.4	 27.14
2009-2-12 16:0	-6.432	0.5693	 1.648	 361.3	0.083333	500.03	 177.7	18.158
2009-2-12 17:0	 -7.87	0.6776	 1.258	  94.1	0.083333	500.38	 241.7	7.8254
2009-2-12 18:0	 -9.26	 0.902	 1.211	 14.14	0.083333	500.72	 267.5	     0
2009-2-12 19:0	-10.31	 0.806	 2.971	-0.222	0.083333	501.06	 267.1	     0
2009-2-12 20:0	-11.03	 0.876	 1.585	-0.168	0.083333	 501.4	 258.9	     0
2009-2-12 21:0	-11.615	 0.839	 1.225	-0.319	0.083333	501.74	 258.8	     0
2009-2-12 22:0	-12.55	0.6761	  2.37	-1.181	0.083333	502.08	 193.1	     0
2009-2-12 23:0	-13.015	 0.825	  0.62	-0.166	0.083333	502.42	 252.6	     0
2009-2-13 0:0	-13.065	 0.852	 1.055	-0.048	 0.125	502.76	 259.1	     0
2009-2-13 1:0	 -13.1	 0.837	 1.181	-0.108	 0.125	 503.1	 258.9	     0
2009-2-13 2:0	-13.35	 0.792	 1.032	-0.294	 0.125	503.44	   258	     0
2009-2-13 3:0	-13.535	 0.805	 0.783	  -0.3	 0.125	503.78	 257.1	     0
2009-2-13 4:0	-13.835	 0.772	 0.664	-0.307	 0.125	504.13	 255.9	     0
2009-2-13 5:0	-14.49	  0.84	 0.709	-0.337	 0.125	504.47	 253.4	     0
2009-2-13 6:0	-15.685	 0.841	 1.018	-0.981	 0.125	504.81	 249.5	     0
2009-2-13 7:0	-17.65	 0.835	 0.665	-2.209	 0.125	504.79	 241.6	     0
2009-2-13 8:0	-18.55	 0.825	 0.808	   129	 0.125	504.78	 236.3	9.7458
2009-2-13 9:0	-16.125	 0.728	 0.867	   273	 0.125	504.77	 245.9	19.933
2009-2-13 10:0	-11.055	0.5475	 1.224	 520.1	 0.125	504.76	 268.5	28.674
2009-2-13 11:0	-8.4155	0.4561	 1.145	 565.1	 0.125	504.74	 283.2	35.206
2009-2-13 12:0	-6.8955	0.4176	 1.233	 674.2	 0.125	504.73	 294.4	 38.64
2009-2-13 13:0	-6.156	0.3937	 1.273	   681	 0.125	504.72	 296.8	38.335
2009-2-13 14:0	-5.2525	0.3594	 1.297	   726	 0.125	504.71	 300.4	34.356
2009-2-13 15:0	-5.1225	0.4141	 1.395	 517.3	 0.125	504.69	 297.8	27.417
2009-2-13 16:0	-6.7345	0.5934	 1.313	   367	 0.125	504.68	 290.9	18.404
2009-2-13 17:0	 -9.35	0.6911	 1.181	 113.2	 0.125	504.67	 275.4	8.0466
2009-2-13 18:0	-10.55	0.6876	 1.064	 13.56	 0.125	504.65	   268	     0
2009-2-13 19:0	 -11.3	0.5859	 0.759	-0.546	 0.125	504.64	 264.9	     0
2009-2-13 20:0	-12.115	0.5567	     1	-0.618	 0.125	504.63	 260.5	     0
2009-2-13 21:0	-12.635	0.6321	 0.931	-0.682	 0.125	504.62	 257.8	     0
2009-2-13 22:0	-12.68	 0.861	 1.059	-0.206	 0.125	 504.6	 259.5	     0
2009-2-13 23:0	-12.56	 0.878	 0.509	     0	 0.125	504.59	 260.5	     0
2009-2-14 0:0	-12.325	 0.866	 1.121	     0	0.083333	504.58	 261.8	     0
2009-2-14 1:0	-11.955	 0.759	 1.283	-0.314	0.083333	504.56	 262.7	     0
2009-2-14 2:0	-11.705	 0.688	 1.597	-0.709	0.083333	504.55	   263	     0
2009-2-14 3:0	-12.09	0.5427	  1.58	-1.448	0.083333	504.54	 260.2	     0
2009-2-14 4:0	-12.295	0.4902	 2.107	-1.209	0.083333	504.53	 258.9	     0
2009-2-14 5:0	-12.68	 0.701	 3.081	-0.345	0.083333	504.51	 241.1	     0
2009-2-14 6:0	-13.47	  0.85	 1.105	-0.223	0.083333	 504.5	 248.8	     0
2009-2-14 7:0	-13.755	 0.857	  0.99	 0.154	0.083333	504.41	 251.1	     0
2009-2-14 8:0	-13.515	 0.848	 0.853	 26.16	0.083333	504.32	 255.9	9.9836
2009-2-14 9:0	-12.66	 0.827	 0.854	 141.3	0.083333	504.22	 260.9	20.196
2009-2-14 10:0	-11.52	0.6836	 1.107	   304	0.083333	504.13	 267.4	28.967
2009-2-14 11:0	-9.775	 0.438	 2.589	   702	0.083333	504.04	 276.2	35.528
2009-2-14 12:0	-7.907	0.4113	 2.099	   793	0.083333	503.95	 288.7	38.979
2009-2-14 13:0	 -8.99	0.4267	 2.673	   743	0.083333	503.86	 244.1	38.671
2009-2-14 14:0	-9.225	0.4667	 2.561	 622.5	0.083333	503.76	 193.1	34.667
2009-2-14 15:0	 -8.33	0.4139	 2.083	 492.9	0.083333	503.67	 166.1	27.695
2009-2-14 16:0	-10.215	0.4906	 2.548	 447.8	0.083333	503.58	 160.9	18.651
2009-2-14 17:0	-11.52	0.5331	 1.992	 123.9	0.083333	503.49	 161.7	8.2679
2009-2-14 18:0	-12.855	0.6112	 1.343	 35.25	0.083333	 503.4	 168.6	     0
2009-2-14 19:0	-14.53	0.6541	 0.791	-2.048	0.083333	 503.3	 171.8	     0
2009-2-14 20:0	-14.34	0.6892	  0.72	-0.992	0.083333	503.21	 218.2	     0
2009-2-14 21:0	-14.235	 0.765	 0.548	 -0.86	0.083333	503.12	 220.7	     0
2009-2-14 22:0	-14.45	 0.725	 0.457	-0.398	0.083333	503.03	 224.7	     0
2009-2-14 23:0	-14.925	 0.735	  1.23	-1.417	0.083333	502.94	   180	     0
2009-2-15 0:0	-16.74	 0.795	 1.411	 -3.24	0.041667	502.84	 137.5	     0
2009-2-15 1:0	-17.71	 0.754	 1.456	-3.866	0.041667	502.75	 133.6	     0
2009-2-15 2:0	-17.845	 0.778	 1.521	-3.485	0.041667	502.66	 133.1	     0
2009-2-15 3:0	-19.07	 0.783	  0.96	-3.744	0.041667	502.57	 133.9	     0
2009-2-15 4:0	-18.68	 0.751	 1.592	-4.092	0.041667	502.48	 134.6	     0
2009-2-15 5:0	-18.175	0.6907	 1.924	-3.825	0.041667	502.38	 134.9	     0
2009-2-15 6:0	-17.905	0.6375	 1.642	-2.745	0.041667	502.29	 139.6	     0
2009-2-15 7:0	-17.15	0.6541	 1.949	-2.311	0.041667	502.26	 141.3	     0
2009-2-15 8:0	-16.21	0.5538	 1.444	    89	0.041667	502.23	 144.1	10.226
2009-2-15 9:0	-12.48	0.3515	 1.735	 310.6	0.041667	502.21	 141.2	20.464
2009-2-15 10:0	-6.3895	0.2383	 1.399	 517.7	0.041667	502.18	 147.4	29.264
2009-2-15 11:0	-3.7785	0.2795	 1.636	 683.4	0.041667	502.15	 154.6	35.855
2009-2-15 12:0	-1.6425	0.2357	 1.482	   773	0.041667	502.12	 162.4	39.323
2009-2-15 13:0	-0.8165	0.2397	 1.548	   792	0.041667	502.09	 167.3	39.009
2009-2-15 14:0	-0.505	 0.237	 1.827	   720	0.041667	502.06	 179.6	 34.98
2009-2-15 15:0	-1.564	0.2645	 2.293	 502.2	0.041667	502.03	 176.5	27.974
2009-2-15 16:0	-2.986	0.3233	 2.122	 394.9	0.041667	   502	 169.4	18.897
2009-2-15 17:0	-5.4975	0.4222	 1.525	  94.4	0.041667	501.98	 176.9	 8.489
2009-2-15 18:0	-8.4605	 0.595	 1.135	 24.09	0.041667	501.95	 191.5	     0
2009-2-15 19:0	-10.58	0.5673	 0.953	-2.681	0.041667	501.92	 190.5	     0
2009-2-15 20:0	-10.25	 0.435	 1.189	-2.102	0.041667	501.89	 204.4	     0
2009-2-15 21:0	-10.605	0.4885	 0.921	-2.592	0.041667	501.86	 199.9	     0
2009-2-15 22:0	-10.125	0.3211	 1.069	-1.782	0.041667	501.83	 210.8	     0
2009-2-15 23:0	-8.715	0.3137	 1.342	-1.788	0.041667	 501.8	 211.6	     0
2009-2-16 0:0	 -9.14	0.3429	 1.028	-2.075	     0	501.78	   198	     0
2009-2-16 1:0	 -8.94	0.3496	 1.036	-1.678	     0	501.75	 215.7	     0
2009-2-16 2:0	-8.905	0.3755	  1.28	-1.563	     0	501.72	 213.5	     0
2009-2-16 3:0	-9.075	0.5136	 1.183	-1.569	     0	501.69	 218.4	     0
2009-2-16 4:0	-9.295	0.5479	 0.909	-1.397	     0	501.66	 227.2	     0
2009-2-16 5:0	-8.485	0.5106	 1.424	-1.613	     0	501.63	 224.1	     0
2009-2-16 6:0	-8.435	0.5946	 1.103	-0.891	     0	 501.6	 252.4	     0
2009-2-16 7:0	 -8.27	0.6645	  1.29	 0.322	     0	502.27	 257.1	     0
2009-2-16 8:0	-9.095	0.6712	 1.471	  85.4	     0	502.93	 183.9	10.472
2009-2-16 9:0	-5.7675	0.3616	 1.355	 322.3	     0	503.59	   176	20.735
2009-2-16 10:0	-2.105	0.3147	 1.535	 519.4	     0	504.26	   181	29.566
2009-2-16 11:0	-0.927	0.3176	 1.812	 595.9	     0	504.92	 201.2	36.185
2009-2-16 12:0	-1.4225	0.3062	 1.412	 437.6	     0	505.59	   234	 39.67
2009-2-16 13:0	-0.7015	0.3126	 1.552	 488.2	     0	506.25	   245	 39.35
2009-2-16 14:0	-1.608	0.3609	 1.489	 362.4	     0	506.91	 259.5	35.294
2009-2-16 15:0	-1.306	0.3478	 1.342	   346	     0	507.58	 259.8	28.253
2009-2-16 16:0	-2.6465	0.3831	  1.07	   194	     0	508.24	 259.7	19.144
2009-2-16 17:0	-3.833	0.4248	 0.933	  81.8	     0	 508.9	 257.2	8.7099
2009-2-16 18:0	-5.1025	0.5126	  0.91	 21.36	     0	509.57	 262.3	     0
2009-2-16 19:0	-6.1385	0.5443	 0.602	 -0.55	     0	510.23	 259.7	     0
2009-2-16 20:0	-6.219	0.5127	 1.192	-1.959	     0	 510.9	 221.5	     0
2009-2-16 21:0	-5.542	0.5084	 2.114	-1.476	     0	511.56	 232.1	     0
2009-2-16 22:0	-5.425	0.5312	 2.236	-1.752	     0	512.22	 217.2	     0
2009-2-16 23:0	-6.433	0.5454	 1.788	 -2.62	     0	512.89	 180.1	     0
2009-2-17 0:0	-7.1005	0.5538	 1.648	-2.683	0.20833	513.55	 176.6	     0
2009-2-17 1:0	-7.3525	0.6009	 1.854	-2.434	0.20833	514.21	   180	     0
2009-2-17 2:0	 -7.45	0.6738	 1.765	-1.025	0.20833	514.88	 236.7	     0
2009-2-17 3:0	 -8.14	 0.914	 2.003	-0.204	0.20833	515.54	 271.6	     0
2009-2-17 4:0	 -8.93	 0.925	 1.638	-0.091	0.20833	516.21	 274.2	     0
2009-2-17 5:0	 -8.88	 0.923	 1.621	-0.137	0.20833	516.87	 273.1	     0
2009-2-17 6:0	-8.815	 0.908	 2.734	-0.195	0.20833	517.53	 273.3	     0
2009-2-17 7:0	 -9.42	 0.883	  3.69	 0.172	0.20833	517.38	 271.1	     0
2009-2-17 8:0	-9.955	 0.709	  3.46	 34.12	0.20833	517.22	 255.1	10.723
2009-2-17 9:0	-9.105	0.5526	 2.643	 182.4	0.20833	517.06	 210.5	 21.01
2009-2-17 10:0	-7.249	0.4093	 2.449	 540.3	0.20833	516.91	 154.2	29.871
2009-2-17 11:0	-5.376	0.3299	 2.443	   712	0.20833	516.75	 150.7	36.519
2009-2-17 12:0	  -4.6	0.3772	 2.202	   870	0.20833	516.59	 180.2	 40.02
2009-2-17 13:0	-6.5485	0.5128	 1.954	 518.4	0.20833	516.44	 230.5	39.694
2009-2-17 14:0	-5.823	0.3651	 1.461	   636	0.20833	516.28	   182	 35.61
2009-2-17 15:0	-5.775	0.4323	 1.541	 516.8	0.20833	516.12	 206.5	28.533
2009-2-17 16:0	-7.0625	0.4145	 1.783	 435.2	0.20833	515.97	   179	19.391
2009-2-17 17:0	-8.855	0.4536	 1.993	  86.7	0.20833	515.81	 159.1	8.9306
2009-2-17 18:0	-10.695	0.5022	 1.907	 19.86	0.20833	515.66	   153	     0
2009-2-17 19:0	-12.55	0.6614	  1.16	-2.805	0.20833	 515.5	 155.1	     0
2009-2-17 20:0	-13.015	0.6416	 1.061	-2.438	0.20833	515.34	 171.9	     0
2009-2-17 21:0	-12.54	0.5986	 1.169	-1.083	0.20833	515.19	   211	     0
2009-2-17 22:0	-12.81	0.6427	 1.228	-1.882	0.20833	515.03	 172.5	     0
2009-2-17 23:0	-13.97	  0.72	  1.12	 -1.97	0.20833	514.87	 170.2	     0
2009-2-18 0:0	-15.045	 0.751	 1.101	  -1.6	0.33333	514.72	   174	     0
2009-2-18 1:0	-14.505	 0.743	 0.728	-0.798	0.33333	514.56	   212	     0
2009-2-18 2:0	-13.845	 0.855	 0.598	-0.236	0.33333	 514.4	 246.8	     0
2009-2-18 3:0	-13.16	 0.832	 0.706	 -0.06	0.33333	514.25	 257.5	     0
2009-2-18 4:0	-13.01	 0.814	 1.148	-0.004	0.33333	514.09	 259.8	     0
2009-2-18 5:0	-12.645	 0.813	 1.448	-0.012	0.33333	513.93	 260.6	     0
2009-2-18 6:0	   -13	 0.863	 1.506	-0.002	0.33333	513.78	 259.8	     0
2009-2-18 7:0	-13.165	 0.843	 1.434	 0.562	0.33333	514.31	   259	     0
2009-2-18 8:0	-12.93	 0.876	 0.725	 47.77	0.33333	514.85	 259.6	10.977
2009-2-18 9:0	-12.175	 0.848	 0.665	 212.3	0.33333	515.39	   264	 21.29
2009-2-18 10:0	-10.075	 0.741	 1.184	 472.8	0.33333	515.92	 270.8	 30.18
2009-2-18 11:0	-8.575	0.6846	 1.358	   758	0.33333	516.46	 289.8	36.857
2009-2-18 12:0	-9.785	 0.805	 1.326	   820	0.33333	   517	 284.2	40.374
2009-2-18 13:0	-9.105	0.6532	 0.953	   802	0.33333	517.53	 284.3	 40.04
2009-2-18 14:0	-8.0135	0.6931	 1.136	   724	0.33333	518.07	 290.6	35.928
2009-2-18 15:0	 -6.22	0.4945	 1.657	 645.9	0.33333	518.61	 296.5	28.814
2009-2-18 16:0	-7.166	0.6117	 1.708	 412.2	0.33333	519.14	 251.8	19.638
2009-2-18 17:0	  -9.5	   0.8	  0.89	 227.1	0.33333	519.68	 241.8	9.1511
2009-2-18 18:0	-11.29	  0.93	 0.909	 32.24	0.33333	520.22	   252	     0
2009-2-18 19:0	-11.79	 0.918	  0.79	 0.022	0.33333	520.75	   265	     0
2009-2-18 20:0	-12.095	 0.913	 0.714	-0.615	0.33333	521.29	 263.8	     0
2009-2-18 21:0	-12.52	 0.909	 0.362	-0.901	0.33333	521.83	 261.5	     0
2009-2-18 22:0	-13.27	 0.897	  0.28	-0.643	0.33333	522.36	 258.3	     0
2009-2-18 23:0	-13.84	 0.895	 0.469	-1.233	0.33333	 522.9	 255.6	     0
2009-2-19 0:0	-14.56	 0.889	 0.391	-0.712	     0	523.44	 253.4	     0
2009-2-19 1:0	 -15.9	  0.88	 0.369	-0.686	     0	523.97	 248.4	     0
2009-2-19 2:0	-17.33	 0.866	 0.467	-1.654	     0	524.51	 242.2	     0
2009-2-19 3:0	-18.01	 0.871	 0.608	-2.417	     0	525.05	 238.4	     0
2009-2-19 4:0	-17.27	 0.841	 0.979	 -2.51	     0	525.58	 242.3	     0
2009-2-19 5:0	   -17	 0.877	 0.826	-2.741	     0	526.12	 242.9	     0
2009-2-19 6:0	-15.76	 0.874	 1.006	-2.936	     0	526.66	   249	     0
2009-2-19 7:0	-17.675	 0.857	 0.346	-1.726	     0	526.47	 241.3	0.040333
2009-2-19 8:0	-18.415	 0.868	 0.389	 198.1	     0	526.29	 236.8	11.236
2009-2-19 9:0	-13.28	  0.64	 0.273	 468.6	     0	526.11	 250.6	21.573
2009-2-19 10:0	-7.8295	0.5026	 1.007	 603.1	     0	525.93	 284.2	30.493
2009-2-19 11:0	-4.5765	0.3034	 0.857	   714	     0	525.75	 306.8	37.199
2009-2-19 12:0	-4.5415	0.3234	  2.34	   818	     0	525.57	   307	40.731
2009-2-19 13:0	-3.057	0.2948	 1.475	   848	     0	525.39	 253.9	40.389
2009-2-19 14:0	-2.425	0.2659	 1.318	   802	     0	525.21	 145.8	36.246
2009-2-19 15:0	-2.968	0.2874	 1.506	 551.8	     0	525.03	 147.6	29.095
2009-2-19 16:0	-4.2435	0.3824	 1.253	 482.6	     0	524.85	 150.6	19.884
2009-2-19 17:0	-8.168	0.6106	 0.897	  38.1	     0	524.67	 148.3	9.3712
2009-2-19 18:0	-12.235	0.6872	 0.616	 13.64	     0	524.49	 142.5	     0
2009-2-19 19:0	-14.255	 0.713	 0.627	-2.876	     0	524.31	   144	     0
2009-2-19 20:0	-15.33	 0.741	 0.656	-3.213	     0	524.13	   142	     0
2009-2-19 21:0	-15.615	 0.766	 0.873	-3.083	     0	523.94	 142.8	     0
