datetime	T	RH	WIND	SW	P	SWE	LW	EL
2008-10-5 18:0	-0.807	     1	 1.004	 13.16	 0.375	     0	 313.4	     0
2008-10-5 19:0	 -0.92	     1	 0.609	-0.027	 0.375	     0	 311.6	     0
2008-10-5 20:0	-1.0375	     1	 0.806	-0.117	 0.375	     0	 311.3	     0
2008-10-5 21:0	-1.201	     1	 1.254	-0.317	 0.375	     0	 310.6	     0
2008-10-5 22:0	-1.2835	     1	 0.981	-0.663	 0.375	     0	 310.2	     0
2008-10-5 23:0	-1.6355	     1	  1.07	-0.172	 0.375	     0	 308.6	     0
2008-10-6 0:0	-1.652	     1	 0.972	-0.441	 0.125	     0	 308.4	     0
2008-10-6 1:0	-1.887	 0.999	 1.457	-0.332	 0.125	     0	 307.5	     0
2008-10-6 2:0	-2.0215	 0.999	 0.824	-0.077	 0.125	     0	 306.9	     0
2008-10-6 3:0	-2.189	 0.997	  0.75	-0.376	 0.125	     0	 306.1	     0
2008-10-6 4:0	-2.4555	 0.996	 1.083	-0.184	 0.125	     0	   305	     0
2008-10-6 5:0	 -2.67	 0.994	 1.155	-0.842	 0.125	     0	 303.9	     0
2008-10-6 6:0	-3.0395	 0.994	 1.665	-0.886	 0.125	     0	 302.6	     0
2008-10-6 7:0	-3.191	  0.99	 1.576	 32.31	 0.125	     0	 301.8	8.4505
2008-10-6 8:0	-3.157	  0.99	 1.293	 202.1	 0.125	     0	 301.5	19.614
2008-10-6 9:0	-1.3445	 0.923	 1.602	 511.1	 0.125	     0	 310.6	29.825
2008-10-6 10:0	0.0195	 0.791	   1.6	 695.2	 0.125	     0	 316.7	38.385
2008-10-6 11:0	0.1425	 0.843	 1.643	   820	 0.125	     0	 315.8	44.267
2008-10-6 12:0	0.4465	0.6848	 1.627	   799	 0.125	     0	 314.2	46.326
2008-10-6 13:0	 1.255	 0.741	  1.65	   949	 0.125	     0	 315.7	 44.03
2008-10-6 14:0	 2.391	0.6558	 1.758	   790	 0.125	     0	 263.8	37.966
2008-10-6 15:0	 2.637	0.6265	 2.128	 543.5	 0.125	     0	 215.1	29.287
2008-10-6 16:0	2.8855	0.6336	 1.647	   457	 0.125	     0	 209.9	19.001
2008-10-6 17:0	 1.479	 0.826	 0.715	  82.4	 0.125	     0	 208.4	7.7908
2008-10-6 18:0	-1.094	 0.896	 0.889	  9.05	 0.125	     0	 204.3	     0
2008-10-6 19:0	-2.0925	 0.924	 0.554	-3.879	 0.125	     0	 199.4	     0
2008-10-6 20:0	-2.922	 0.936	 0.495	-3.768	 0.125	     0	 197.2	     0
2008-10-6 21:0	-3.7585	 0.947	 0.467	-5.267	 0.125	     0	 194.6	     0
2008-10-6 22:0	-4.3915	 0.957	 0.306	 -5.81	 0.125	     0	 191.5	     0
2008-10-6 23:0	-4.8915	 0.877	 0.585	-5.003	 0.125	     0	 185.9	     0
2008-10-7 0:0	-5.463	 0.843	 0.798	-4.068	     0	     0	 182.4	     0
2008-10-7 1:0	-5.626	 0.822	 0.788	-4.766	     0	     0	 182.6	     0
2008-10-7 2:0	-5.4735	 0.784	 0.939	-3.529	     0	     0	 183.2	     0
2008-10-7 3:0	-5.5915	 0.791	 0.773	-3.309	     0	     0	 184.7	     0
2008-10-7 4:0	-5.306	  0.76	 0.923	-3.906	     0	     0	 187.1	     0
2008-10-7 5:0	 -4.97	 0.757	 1.045	-3.322	     0	     0	 188.8	     0
2008-10-7 6:0	-5.1715	 0.774	 0.669	-3.546	     0	     0	 186.1	     0
2008-10-7 7:0	-5.373	 0.722	 0.807	 43.35	     0	     0	 187.4	8.2605
2008-10-7 8:0	-1.494	0.4872	 1.106	 258.1	     0	     0	 196.4	19.401
2008-10-7 9:0	 4.101	0.3321	 1.119	 473.2	     0	     0	 206.3	29.576
2008-10-7 10:0	6.7385	0.2939	 1.405	 653.8	     0	     0	 213.5	38.089
2008-10-7 11:0	7.8765	0.2788	  1.55	   782	     0	     0	 217.1	 43.92
2008-10-7 12:0	  8.18	0.2562	 1.669	   844	     0	     0	 219.7	45.944
2008-10-7 13:0	 9.585	0.2928	 1.809	   840	     0	     0	 224.5	43.645
2008-10-7 14:0	10.395	0.2773	 1.577	   758	     0	     0	 228.8	37.602
2008-10-7 15:0	10.545	0.3889	 1.658	 528.1	     0	     0	 232.1	28.951
2008-10-7 16:0	  9.34	  0.45	 1.505	   446	     0	     0	 233.8	18.689
2008-10-7 17:0	 5.424	 0.757	 0.947	 68.59	     0	     0	 227.7	7.4947
2008-10-7 18:0	1.8195	 0.781	 0.945	 6.997	     0	     0	 222.3	     0
2008-10-7 19:0	 0.763	 0.809	 0.838	-3.111	     0	     0	 218.1	     0
2008-10-7 20:0	0.0185	 0.847	 0.555	-3.104	     0	     0	 212.6	     0
2008-10-7 21:0	-0.496	 0.791	 0.704	-3.409	     0	     0	 207.1	     0
2008-10-7 22:0	-0.7105	0.6854	 0.684	-4.147	     0	     0	 204.1	     0
2008-10-7 23:0	-0.7745	0.6942	 0.661	-3.789	     0	     0	 200.4	     0
2008-10-8 0:0	-0.823	0.6694	 0.719	-4.242	     0	     0	 198.4	     0
2008-10-8 1:0	-0.9575	0.6059	 0.688	-4.712	     0	     0	 198.4	     0
2008-10-8 2:0	-1.3095	0.5511	 0.677	-5.085	     0	     0	 191.8	     0
2008-10-8 3:0	-1.376	0.4991	 0.668	-4.333	     0	     0	 183.3	     0
2008-10-8 4:0	 -1.64	0.4914	 0.673	-4.445	     0	     0	 181.9	     0
2008-10-8 5:0	-1.841	0.4864	 0.684	-4.171	     0	     0	 181.9	     0
2008-10-8 6:0	-1.891	0.5092	 0.679	-3.793	     0	     0	 185.8	     0
2008-10-8 7:0	-1.9245	0.4807	 0.677	 44.18	     0	     0	 186.6	8.0695
2008-10-8 8:0	1.5005	 0.392	 0.494	 256.1	     0	     0	 189.4	19.186
2008-10-8 9:0	 6.588	0.1497	 1.036	 472.5	     0	     0	 196.7	29.326
2008-10-8 10:0	10.425	0.1593	 0.991	 655.9	     0	     0	   203	37.792
2008-10-8 11:0	 12.61	 0.121	  1.32	   791	     0	     0	 205.4	43.573
2008-10-8 12:0	 12.77	0.1294	 1.697	   856	     0	     0	   208	45.564
2008-10-8 13:0	13.065	 0.126	 1.894	   845	     0	     0	 215.6	43.262
2008-10-8 14:0	13.635	0.1693	 1.597	   763	     0	     0	 223.7	 37.24
2008-10-8 15:0	    14	0.2125	 1.198	 516.2	     0	     0	 229.2	28.616
2008-10-8 16:0	12.755	0.2863	 1.034	 436.1	     0	     0	   230	18.378
2008-10-8 17:0	 8.344	0.4963	 0.935	 44.99	     0	     0	 226.5	7.2008
2008-10-8 18:0	4.2565	0.5562	 0.789	 6.023	     0	     0	 223.9	     0
2008-10-8 19:0	2.9475	0.5692	  0.66	-3.845	     0	     0	 219.5	     0
2008-10-8 20:0	 2.241	0.6814	  0.69	-4.719	     0	     0	 215.2	     0
2008-10-8 21:0	1.3105	 0.705	 0.967	-4.577	     0	     0	 214.7	     0
2008-10-8 22:0	1.3295	 0.727	 1.158	-4.801	     0	     0	 215.1	     0
2008-10-8 23:0	  0.91	 0.743	 1.265	 -4.36	     0	     0	 209.4	     0
2008-10-9 0:0	  0.93	 0.713	 1.245	-4.441	     0	     0	 203.9	     0
2008-10-9 1:0	0.8305	0.6786	  1.31	-5.025	     0	     0	 198.8	     0
2008-10-9 2:0	0.1945	0.5796	  1.28	-5.727	     0	     0	 195.2	     0
2008-10-9 3:0	0.1275	0.4788	 1.348	-5.307	     0	     0	 193.5	     0
2008-10-9 4:0	 0.413	0.5732	 1.816	-4.527	     0	     0	 193.9	     0
2008-10-9 5:0	-0.1075	0.5507	 1.365	-4.559	     0	     0	 194.2	     0
2008-10-9 6:0	-0.9465	0.5786	 0.969	-4.041	     0	     0	 195.9	     0
2008-10-9 7:0	-0.924	0.5985	 0.916	  39.3	     0	     0	 203.9	7.8777
2008-10-9 8:0	 1.881	0.4242	 0.778	 245.3	     0	     0	 206.1	18.971
2008-10-9 9:0	6.7525	0.3689	 1.289	 462.9	     0	     0	 213.9	29.075
2008-10-9 10:0	 9.205	 0.317	 1.469	 640.7	     0	     0	 222.2	37.494
2008-10-9 11:0	 9.925	0.3615	 1.623	   712	     0	     0	 232.5	43.227
2008-10-9 12:0	 10.93	0.3085	 1.664	   739	     0	     0	 241.8	45.185
2008-10-9 13:0	  11.4	0.3484	 1.729	   707	     0	     0	 245.8	42.881
2008-10-9 14:0	 10.83	0.3366	 1.687	 624.7	     0	     0	 249.6	 36.88
2008-10-9 15:0	11.515	0.3336	 1.528	 514.9	     0	     0	 237.1	28.284
2008-10-9 16:0	 10.51	0.2444	  2.02	 391.9	     0	     0	 230.6	 18.07
2008-10-9 17:0	7.9215	 0.431	 2.321	 32.26	     0	     0	   221	6.9092
2008-10-9 18:0	 6.397	0.4133	 1.975	 5.899	     0	     0	 221.5	     0
2008-10-9 19:0	5.8155	0.3983	 1.945	 -2.84	     0	     0	 222.7	     0
2008-10-9 20:0	6.1065	0.3889	 2.548	 -2.46	     0	     0	 225.4	     0
2008-10-9 21:0	 5.973	0.4124	 2.212	-2.529	     0	     0	 236.6	     0
2008-10-9 22:0	 5.537	0.4443	 1.821	-2.417	     0	     0	   240	     0
2008-10-9 23:0	5.3365	0.4758	 2.246	-1.961	     0	     0	 254.7	     0
2008-10-10 0:0	 4.867	0.4782	 2.089	-1.807	     0	     0	 273.5	     0
2008-10-10 1:0	 4.214	0.5132	 1.522	-1.516	     0	     0	   284	     0
2008-10-10 2:0	3.7315	 0.579	 1.157	-1.479	     0	     0	 288.2	     0
2008-10-10 3:0	3.0275	0.6273	 1.476	-1.443	     0	     0	 283.2	     0
2008-10-10 4:0	 2.541	0.6293	 1.172	-1.178	     0	     0	 289.4	     0
2008-10-10 5:0	 2.243	0.6526	 1.289	 -0.99	     0	     0	   294	     0
2008-10-10 6:0	2.0105	0.6868	 1.167	-1.091	     0	     0	 289.7	     0
2008-10-10 7:0	 2.044	0.6526	  1.26	 13.21	     0	     0	 290.1	 7.685
2008-10-10 8:0	2.4305	0.5999	 1.383	  87.2	     0	     0	 292.9	18.754
2008-10-10 9:0	 3.202	0.6166	 1.486	   136	     0	     0	 301.2	28.823
2008-10-10 10:0	 4.857	0.5957	 1.986	 209.6	     0	     0	   295	37.196
2008-10-10 11:0	 3.251	 0.791	 1.493	 237.5	     0	     0	 297.3	42.881
2008-10-10 12:0	2.4175	0.6431	 1.357	 192.3	     0	     0	 299.8	44.807
2008-10-10 13:0	2.9935	0.6971	 1.471	 162.6	     0	     0	 302.7	42.502
2008-10-10 14:0	3.6985	0.5954	 1.658	 201.9	     0	     0	 300.4	36.522
2008-10-10 15:0	4.7055	 0.534	 1.584	 219.4	     0	     0	 288.1	27.954
2008-10-10 16:0	5.4385	0.4346	 1.884	   214	     0	     0	   280	17.764
2008-10-10 17:0	5.2515	0.4007	 1.826	  91.2	     0	     0	 276.7	6.6201
2008-10-10 18:0	4.7485	0.4013	 1.731	 11.28	     0	     0	 269.2	     0
2008-10-10 19:0	 4.483	0.3799	 1.722	-1.956	     0	     0	 263.6	     0
2008-10-10 20:0	4.5035	0.4326	 1.686	-1.557	     0	     0	 282.5	     0
2008-10-10 21:0	3.8835	0.4165	 1.466	-2.191	     0	     0	 249.7	     0
2008-10-10 22:0	2.9935	0.4058	 1.603	-3.291	     0	     0	   208	     0
2008-10-10 23:0	 2.447	0.4206	 1.713	 -3.34	     0	     0	 210.5	     0
2008-10-11 0:0	 2.096	0.4448	 1.739	-2.612	1.7083	     0	 223.3	     0
2008-10-11 1:0	1.9485	0.4828	 1.562	-1.884	1.7083	     0	 258.7	     0
2008-10-11 2:0	1.8655	0.5214	 1.971	-1.993	1.7083	     0	 250.1	     0
2008-10-11 3:0	1.8645	0.5546	 2.408	-1.479	1.7083	     0	 264.8	     0
2008-10-11 4:0	 1.728	0.5596	  2.66	-1.058	1.7083	     0	   274	     0
2008-10-11 5:0	1.8105	  0.61	 3.359	-1.542	1.7083	     0	 258.1	     0
2008-10-11 6:0	 1.022	 0.753	 2.344	-0.513	1.7083	     0	 299.5	     0
2008-10-11 7:0	0.3545	 0.803	 2.186	  4.31	1.7083	     0	   304	7.4914
2008-10-11 8:0	 0.356	 0.922	 2.078	 30.71	1.7083	     0	   312	18.537
2008-10-11 9:0	1.6315	 0.873	 2.546	  82.3	1.7083	     0	 315.6	 28.57
2008-10-11 10:0	1.7995	 0.869	 2.787	  71.1	1.7083	36.919	 317.5	36.898
2008-10-11 11:0	2.1855	 0.885	 2.198	 109.6	1.7083	36.934	 316.5	42.536
2008-10-11 12:0	 2.637	 0.723	 2.607	 165.1	1.7083	36.949	   317	44.431
2008-10-11 13:0	 2.398	 0.919	 2.399	  87.4	1.7083	36.963	 318.7	42.125
2008-10-11 14:0	 2.885	 0.862	 3.162	 154.6	1.7083	36.978	 318.7	36.167
2008-10-11 15:0	3.3035	 0.821	  3.18	 31.63	1.7083	36.993	 320.6	27.626
2008-10-11 16:0	  2.43	 0.935	 2.813	 113.9	1.7083	37.008	 315.1	 17.46
2008-10-11 17:0	2.3965	 0.811	 3.175	 33.16	1.7083	37.023	   308	6.3336
2008-10-11 18:0	 2.313	 0.776	  2.93	 5.675	1.7083	37.037	 314.9	     0
2008-10-11 19:0	 2.531	 0.742	 3.719	-0.046	1.7083	37.052	 305.8	     0
2008-10-11 20:0	 1.994	 0.704	  2.81	-0.271	1.7083	37.067	 303.9	     0
2008-10-11 21:0	 0.501	 0.785	 2.972	-0.369	1.7083	37.082	 299.8	     0
2008-10-11 22:0	-1.9795	 0.967	 2.021	-0.132	1.7083	37.096	 300.5	     0
2008-10-11 23:0	-3.083	 0.899	 2.243	 -0.08	1.7083	37.111	 296.1	     0
2008-10-12 0:0	-3.9495	 0.925	 2.342	-0.188	 0.125	37.126	   292	     0
2008-10-12 1:0	-5.456	 0.837	 2.277	-0.066	 0.125	37.141	 283.6	     0
2008-10-12 2:0	-6.1075	 0.706	 2.329	-0.186	 0.125	37.155	 267.8	     0
2008-10-12 3:0	-6.859	 0.583	 1.966	-2.135	 0.125	 37.17	 189.8	     0
2008-10-12 4:0	 -7.66	0.5306	 2.231	-2.792	 0.125	37.185	 162.7	     0
2008-10-12 5:0	 -8.31	0.5694	  2.03	-3.057	 0.125	  37.2	 158.7	     0
2008-10-12 6:0	-8.705	0.4914	 2.111	-3.443	 0.125	37.215	 155.3	     0
2008-10-12 7:0	-9.075	0.5015	  1.81	 38.31	 0.125	37.229	 151.6	7.2969
2008-10-12 8:0	-7.508	0.2985	 1.139	 253.7	 0.125	37.244	 147.1	18.318
2008-10-12 9:0	-3.768	0.2722	 1.427	 478.3	 0.125	37.259	 154.8	28.316
2008-10-12 10:0	-2.393	 0.219	 1.717	 668.3	 0.125	37.274	 153.7	36.599
2008-10-12 11:0	-0.914	0.2196	 1.382	   797	 0.125	37.288	 157.4	42.191
2008-10-12 12:0	-0.265	0.1887	  1.51	   860	 0.125	37.303	 160.6	44.057
2008-10-12 13:0	 0.569	0.1591	 1.565	   850	 0.125	37.318	   162	41.751
2008-10-12 14:0	 0.433	0.1907	 1.743	   766	 0.125	37.333	 164.1	35.814
2008-10-12 15:0	 0.332	0.1897	 1.249	 522.8	 0.125	37.347	 164.6	  27.3
2008-10-12 16:0	-0.725	0.1934	 1.033	 380.2	 0.125	37.362	 162.1	17.159
2008-10-12 17:0	-3.5885	0.3079	 0.934	 32.38	 0.125	37.377	 158.1	6.0499
2008-10-12 18:0	-6.9015	0.5466	 0.727	 4.605	 0.125	37.392	 157.6	     0
2008-10-12 19:0	-8.615	0.6422	 0.848	-4.442	 0.125	37.407	 159.9	     0
2008-10-12 20:0	-10.085	0.6885	 0.702	-3.256	 0.125	37.421	 159.1	     0
2008-10-12 21:0	-11.005	 0.716	 0.718	-3.231	 0.125	37.436	 157.5	     0
2008-10-12 22:0	-11.77	 0.752	 0.557	 -3.52	 0.125	37.451	 154.9	     0
2008-10-12 23:0	-12.245	0.6951	 0.472	 -3.65	 0.125	37.466	 151.9	     0
